"","SampleID","SampleType","WellID","PlateID","DataAnalysisRefID","OlinkID","UniProt","Assay","AssayType","Panel","Block","Count","ExtNPX","NPX","Normalization","PCNormalizedNPX","AssayQC","SampleQC","SoftwareVersion","SoftwareName","PanelDataArchiveVersion","PreProcessingVersion","PreProcessingSoftware","InstrumentType","IntraCV","InterCV","SampleBlockQCWarn","SampleBlockQCFail","BlockQCFail","AssayQCWarn","LOD","PCNormalizedLOD"
"1","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50348","Q7Z7G0","ABI3BP","assay","Reveal",1,27946,1.2174,0.7589,"Plate control",0.7589,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",9.8354,NA,1,1,1,1,-4.55331502324161,-4.55331502324161
"2","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50349","P00519","ABL1","assay","Reveal",1,9694,-0.31,2.2685,"Plate control",2.2685,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",8.081,NA,1,1,1,1,-4.31449361187723,-4.31449361187723
"3","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50086","P09110","ACAA1","assay","Reveal",1,1085,-3.4694,-1.21,"Plate control",-1.21,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",8.9109,NA,1,1,1,1,-3.91066232421321,-3.91066232421321
"4","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID51017","P16112","ACAN","assay","Reveal",1,40821,1.7641,0.3586,"Plate control",0.3586,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",1.4575,NA,1,1,1,1,-5.85834249253303,-5.85834249253303
"5","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50350","Q9BYF1","ACE2","assay","Reveal",1,2557,-2.2327,-0.1348,"Plate control",-0.1348,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",8.6937,NA,1,1,1,1,-1.94357363000925,-1.94357363000925
"6","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50351","P24666","ACP1","assay","Reveal",1,473,-4.6672,1.8659,"Plate control",1.8659,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",1.7761,NA,1,1,1,1,0.774518912659015,0.774518912659015
"7","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50087","P15309","ACP3","assay","Reveal",1,1531,-2.9727,0.3582,"Plate control",0.3582,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",6.6004,NA,1,1,1,1,-2.12407712357334,-2.12407712357334
"8","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50352","Q9NPH0","ACP6","assay","Reveal",1,5227,-1.2011,0.4012,"Plate control",0.4012,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",4.128,NA,1,1,1,1,-4.20914222013272,-4.20914222013272
"9","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50353","P26436","ACRV1","assay","Reveal",1,314,-5.2583,-1.7741,"Plate control",-1.7741,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",6.8356,NA,1,1,1,1,-2.18407482351248,-2.18407482351248
"10","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50355","P37023","ACVRL1","assay","Reveal",1,20816,0.7925,1.4369,"Plate control",1.4369,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",3.5304,NA,1,1,1,1,-5.5865811116465,-5.5865811116465
"11","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50088","Q96HD9","ACY3","assay","Reveal",1,29042,1.2729,0.2074,"Plate control",0.2074,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",5.6889,NA,1,1,1,1,-6.72881667564186,-6.72881667564186
"12","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50356","P00813","ADA","assay","Reveal",1,105,-6.8387,-1.6179,"Plate control",-1.6179,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",7.784,NA,1,1,1,1,-1.04680698767162,-1.04680698767162
"13","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50089","O43184","ADAM12","assay","Reveal",1,2740,-2.1329,1.4258,"Plate control",1.4258,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",23.6707,NA,1,1,1,1,-0.498888567393445,-0.498888567393445
"14","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50357","Q13444","ADAM15","assay","Reveal",1,4448,-1.434,0.322,"Plate control",0.322,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",6.0561,NA,1,1,1,1,-2.22698112646863,-2.22698112646863
"15","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50358","Q9P0K1","ADAM22","assay","Reveal",1,873,-3.7831,-0.055,"Plate control",-0.055,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",13.7501,NA,1,1,1,1,-2.59599051603798,-2.59599051603798
"16","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50359","O75077","ADAM23","assay","Reveal",1,2787,-2.1084,-0.9699,"Plate control",-0.9699,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",4.3699,NA,1,1,1,1,-5.0924811116465,-5.0924811116465
"17","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID51018","P78325","ADAM8","assay","Reveal",1,67735,2.4947,0.7156,"Plate control",0.7156,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",6.6748,NA,1,1,1,1,-3.91909847057293,-3.91909847057293
"18","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50360","Q9UHI8","ADAMTS1","assay","Reveal",1,834,-3.849,0.6622,"Plate control",0.6622,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",3.4744,NA,1,1,1,1,-1.15568334810474,-1.15568334810474
"19","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50361","Q8TE58","ADAMTS15","assay","Reveal",1,11915,-0.0124,2.4084,"Plate control",2.4084,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",6.0593,NA,1,1,1,1,-4.02745513930434,-4.02745513930434
"20","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50362","Q6UY14","ADAMTSL4","assay","Reveal",1,9453,-0.3464,2.3799,"Plate control",2.3799,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",3.7121,NA,1,1,1,1,-1.49310856372803,-1.49310856372803
"21","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50363","O14514","ADGRB1","assay","Reveal",1,1145,-3.3918,-0.1437,"Plate control",-0.1437,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",5.6225,NA,1,1,1,1,-1.35034692776316,-1.35034692776316
"22","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50364","O60242","ADGRB3","assay","Reveal",1,19696,0.7127,0.2603,"Plate control",0.2603,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",7.3367,NA,1,1,1,1,-5.64803036500918,-5.64803036500918
"23","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50365","Q14246","ADGRE1","assay","Reveal",1,387,-4.9567,-0.7461,"Plate control",-0.7461,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",3.3984,NA,1,1,1,1,-1.18243786975547,-1.18243786975547
"24","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50366","Q9BY15","ADGRE3","assay","Reveal",1,608,-4.305,-0.8983,"Plate control",-0.8983,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",10.6476,NA,1,1,1,1,-2.03768474975569,-2.03768474975569
"25","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50090","Q86Y34","ADGRG3","assay","Reveal",1,5408,-1.152,0.8446,"Plate control",0.8446,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",10.5737,NA,1,1,1,1,-1.08961900814296,-1.08961900814296
"26","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50023","P08319","ADH4","assay","Reveal",1,4680,-1.3606,-1.2128,"Plate control",-1.2128,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",3.6546,NA,1,1,1,1,-4.45499879998937,-4.45499879998937
"27","UPN1_T0","SAMPLE","E5","SampleManifest_Vexas_Reveal","R10002","OID50367","P35318","ADM","assay","Reveal",1,74426,2.6306,3.3022,"Plate control",3.3022,"PASS","PASS","1.3.0","NPX Map","1.3.0","5.1.0","ngs2counts","Illumina NovaSeq X Plus",2.7549,NA,1,1,1,1,-5.11312488175694,-5.11312488175694
